id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10595,Condo in Athens · ★4.83 · 3 bedrooms · 5 beds · 2 baths,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,200,1,41,2023-06-17,0.28,7,139,8,00000957568
10990,Rental unit in Athens · ★4.80 · 1 bedroom · 1 bed · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,70,1,65,2023-04-04,0.49,7,163,4,00001070920
10993,Rental unit in Athens · ★4.84 · Studio · 2 beds · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,64,1,91,2023-05-12,0.70,7,91,4,00000957080
10995,Rental unit in Athens · ★4.80 · 1 bedroom · 2 beds · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,77,1,30,2023-06-02,0.19,7,167,1,00000957422
27262,Rental unit in Athens · ★4.81 · 1 bedroom · 1 bed · 1 bath,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,100,1,21,2023-06-02,0.16,7,176,2,00000957579
28186,Loft in Athens · ★4.82 · 1 bedroom · 2 beds · 1 bath,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976334,23.729834,Entire home/apt,91,2,490,2023-05-17,3.63,2,340,19,00001466012
31155,Rental unit in Athens · 1 bedroom · 1 bed · 1 shared bath,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,0,0,
33945,Rental unit in Athens · ★4.69 · 2 bedrooms · 2 beds · 1 bath,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,30,5,72,2022-01-10,0.47,2,227,0,00000874421
49489,Rental unit in Athens · ★4.68 · 3 bedrooms · 5 beds · 1.5 baths,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,180,2,131,2023-06-17,0.91,1,111,3,00000876484
60394,Condo in Athens · ★4.96 · 1 bedroom · 3 beds · 1 bath,290864,Mika,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,32,6,27,2023-06-13,0.27,1,92,15,01039140005
83097,Home in Athens · ★4.42 · 1 bedroom · 3 beds · 1 bath,452494,Aris,,ΣΤΑΔΙΟ,37.96519,23.74549,Entire home/apt,45,4,21,2015-07-25,0.15,1,0,0,
85539,Rental unit in Athens · 1 bedroom · 4 beds · 1 bath,468541,Xanthippi,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire home/apt,75,4,0,,,1,0,0,
131133,Rental unit in Athens · ★4.67 · 1 bedroom · 5 beds · 1.5 baths,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,67,2,43,2023-05-07,0.32,6,319,6,00000173007
133835,Rental unit in Athens · ★4.53 · 1 bedroom · 1 bed · 1 bath,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,55,3,19,2023-06-03,0.13,1,203,10,00001227000
133906,Rental unit in Athens · ★4.83 · 2 bedrooms · 7 beds · 1 bath,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,93,2,61,2023-06-19,0.42,6,326,10,00000172988
138386,Rental unit in Athens · ★4.95 · 2 bedrooms · 2 beds · 1 bath,675611,Yavor,,ΠΑΓΚΡΑΤΙ,37.96783,23.7497,Entire home/apt,59,3,59,2020-01-20,0.41,1,0,0,00000208960
154243,Rental unit in Athens · ★4.69 · 1 bedroom · 1 bed · 1 bath,741851,Yagos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,55,3,188,2023-06-11,1.29,1,328,8,00000532953
155654,Rental unit in Athina · ★4.78 · 1 bedroom · 1 bed · 1 bath,712602,Nikos,,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,70,2,52,2023-06-18,0.47,2,124,19,00000429243
157869,Rental unit in Athens · ★4.67 · 2 bedrooms · 2 beds · 1 bath,650923,AthensApart,,ΣΤΑΔΙΟ,37.966,23.74443,Entire home/apt,99,1,174,2022-06-29,1.22,10,0,1,00001411142
167416,Rental unit in Athens · 2 bedrooms · 4 beds · 1.5 baths,797823,George,,ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire home/apt,74,14,0,,,1,0,0,
185936,Rental unit in Athens · 1 bedroom · 1 bed · 1 bath,885156,E,,ΓΚΑΖΙ,37.97858,23.70967,Private room,30,7,0,,,1,0,0,
196935,Rental unit in Athens · ★4.17 · 1 bedroom · 1 bed · 1 bath,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire home/apt,57,2,66,2023-06-11,0.47,1,205,11,00000430918
240960,Condo in Athens · ★4.87 · 1 bedroom · 2 beds · 1 bath,1264236,Ioannis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97939,23.72528,Entire home/apt,116,3,84,2023-06-14,0.64,1,125,10,Exempt
251361,Rental unit in Galatsi · 1 bedroom · 1 bed · 1 bath,592616,Andreas,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire home/apt,138,5,1,2013-05-23,0.01,1,0,0,
270611,Rental unit in Athens · ★4.64 · 2 bedrooms · 8 beds · 1 bath,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,50,3,46,2022-08-25,0.35,1,364,1,00000040022
270954,Rental unit in Athens · ★4.73 · 1 bedroom · 1 bed · 1 bath,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,96,2,24,2021-10-17,0.18,48,278,0,00001814535
270973,Rental unit in Athens · ★5.0 · 1 bedroom · 1 bed · 1 bath,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,98,2,25,2023-06-23,0.24,48,270,8,00001814520
306234,Rental unit in Athens · ★4.99 · 1 bedroom · 1 bed · 1 bath,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,422,2,601,2023-06-20,4.62,3,164,75,00001465616
308157,Rental unit in Athens · Studio · 1 bed · 1 bath,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,65,5,2,2016-04-05,0.02,18,1,0,00001218523
340237,Rental unit in Athens · ★4.71 · 2 bedrooms · 2 beds · 1 bath,1365030,Lida,,ΚΕΡΑΜΕΙΚΟΣ,37.98023,23.722,Entire home/apt,82,3,78,2023-05-17,0.57,1,0,11,Exempt
361393,Rental unit in Athens · ★4.68 · 2 bedrooms · 4 beds · 1 bath,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,78,1,214,2022-12-24,1.58,5,101,13,00800835933
401423,Rental unit in Athens · ★4.91 · 1 bedroom · 1 bed · 1 bath,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,90,2,506,2023-06-23,3.74,1,281,42,00000492384
408907,Rental unit in Athens · ★4.88 · 1 bedroom · 1 bed · 1 bath,2035514,Ranina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,65,2,174,2022-09-18,1.29,1,218,2,00000040427
